files_cumulative,unique_chars,total_chars,entropy_bits,zipf_slope,zipf_r2
1480,4310,1424827,9.671288646668856,-2.1556297028411824,0.8481051925677066
1490,4317,1438399,9.67193396955407,-2.158516879030425,0.8480036502182909
1500,4336,1447751,9.673654382081152,-2.1619446638652398,0.8478995610087645
1510,4352,1456501,9.675948706425936,-2.163705182083539,0.848078520919565
1520,4353,1461533,9.675598440942508,-2.163849012161824,0.8480967071943607
1530,4353,1470818,9.674047652938304,-2.1655436362864866,0.8481132125673656
1540,4353,1476924,9.673823436216122,-2.16616909534063,0.8479307558046938
1550,4354,1484945,9.674136477419603,-2.1667916745115425,0.8478222932614552
1560,4354,1492654,9.67402730626052,-2.1677575906924678,0.847698815672642
1570,4363,1498662,9.674585824906693,-2.169743866669611,0.8476535949383104
1580,4391,1506547,9.678507276609421,-2.1704425152097944,0.8481234437185275
1590,4394,1518480,9.67795826706384,-2.1723690211520736,0.8480208581028943
1600,4394,1528141,9.677299760925363,-2.1732970207586155,0.8478833822521892
1610,4399,1537189,9.679716845248892,-2.174120931040025,0.8476362970008936
1620,4406,1549712,9.680604100593138,-2.1731216205313024,0.8478584007445308
1630,4417,1558530,9.679760534449944,-2.1758404793901303,0.848061573165776
1640,4420,1569399,9.678861735092184,-2.1782623793786713,0.8480389581495569
1650,4423,1578778,9.678542822766637,-2.1799020580183934,0.8477713819708846
1660,4431,1584868,9.679214301976282,-2.1812101106375206,0.8478231090415138
1670,4437,1602168,9.676750000137508,-2.184997854408536,0.8479704824815182
1680,4439,1619289,9.674850179064556,-2.1871278430425805,0.848034672199304
1690,4442,1627856,9.675489350563923,-2.187739421077628,0.8478416148623221
1700,4443,1636134,9.675247599871495,-2.1885997843132436,0.8477246445011999
1710,4447,1645696,9.675638951375905,-2.190271158317809,0.8476621481336434
1720,4466,1654735,9.678057460423206,-2.1902012877822883,0.8480456412833061
1730,4469,1669485,9.675915913542667,-2.1927429847160673,0.8481539110974735
1740,4471,1678499,9.675217210588682,-2.1939163682728777,0.848059247064858
1750,4471,1686220,9.67490430289659,-2.1940624667511948,0.8480606323876417
1760,4475,1696498,9.676040277125848,-2.1950873348012854,0.8479585047380922
1770,4476,1711523,9.672827597461012,-2.1971592190397518,0.8481945901876353
1780,4480,1717933,9.672810484402255,-2.198661031609792,0.8481369698146534
1790,4482,1726155,9.673381631152754,-2.1993111662219884,0.8480005222158842
1800,4489,1734982,9.673949922794254,-2.201613784506924,0.8479330849848018
1810,4491,1745430,9.67329298703989,-2.2031853268745563,0.8478978030835224
1820,4495,1754842,9.67335232342439,-2.204119104407698,0.8479854118276267
1830,4501,1765316,9.672912774711918,-2.2065566679185005,0.8479581088348436
1840,4504,1777996,9.671423306760028,-2.208652388280481,0.8478794499197211
1850,4508,1783828,9.67119060457299,-2.210083433174324,0.8478503460209962
1860,4511,1795743,9.671299092878405,-2.2115598904404843,0.8476114435814617
1870,4511,1802211,9.671519103958854,-2.2110299149985715,0.8476491145805889
1880,4512,1816102,9.668846336509327,-2.2134533170001753,0.8476296148794938
1890,4515,1827365,9.670174769084706,-2.21454050737926,0.8472387606350449
1900,4524,1838080,9.672952217922154,-2.215289048662469,0.8468867156734546
1910,4532,1847595,9.674905677624542,-2.214250085853968,0.8468770297830224
1920,4550,1858890,9.678642492849098,-2.213758655350448,0.8469831335098965
1930,4553,1880213,9.676962904876971,-2.216611063309847,0.8471377905613452
1940,4553,1888632,9.676176219100379,-2.2170702273440828,0.84710352092809
1950,4557,1898086,9.677112848104167,-2.2178818880554405,0.8468724469548637
1960,4559,1905102,9.67685050040209,-2.218406796577386,0.8469356622065594
1970,4562,1926094,9.675510710771055,-2.220035031664609,0.846843382595822
1980,4563,1940889,9.676352451956976,-2.2213003063564343,0.8465826057776383
1990,4565,1947767,9.676735473406,-2.2224006694681013,0.8464162076540144
2000,4573,1954927,9.67865672787808,-2.221824140580177,0.8466081192344038
2010,4575,1961293,9.67916656336741,-2.2228095736110514,0.8465206279962223
2020,4578,1971002,9.67923305156262,-2.224104211117695,0.8465051638804759
2030,4583,1978565,9.679839309409333,-2.224465961958807,0.8465437059716688
2040,4587,1991631,9.679217614098514,-2.225757430454175,0.8466904282304583
2050,4589,2000451,9.67921219438728,-2.2267355459725593,0.8465203027625291
2060,4591,2007018,9.678862234948896,-2.2272720432890654,0.8465936306933101
2070,4592,2014295,9.679715810253803,-2.227592470887039,0.8463811180884155
2080,4592,2020260,9.680675609453624,-2.2274318355814526,0.8461698625394987
2090,4593,2031126,9.679566037926026,-2.2289448965623646,0.8462112582338714
2100,4598,2039369,9.680783838412813,-2.2297098572219727,0.8460238598712313
2110,4598,2051686,9.679128057478152,-2.2310646861295913,0.8460516066771641
2120,4608,2062192,9.679913755736388,-2.2324138220827274,0.8460808349333322
2130,4612,2071748,9.679264414213858,-2.2342062756203425,0.8460171994883625
2140,4613,2076576,9.679320179360664,-2.234688800258681,0.8459092885008693
2150,4618,2085486,9.68011187350885,-2.2357040838866444,0.8459006063200101
2160,4621,2094599,9.68146893665979,-2.235701095612068,0.845719208818344
2170,4632,2107933,9.683086535042097,-2.2367606225025565,0.845585441763415
2180,4634,2123498,9.683294099357042,-2.23803704476334,0.8453121201260797
2190,4637,2131164,9.684115327662543,-2.2392382188016673,0.845083486275304
2200,4639,2144833,9.684512259419094,-2.2401658620119833,0.8447967168503235
2210,4652,2153003,9.686412893635914,-2.240201396851436,0.8449000169399496
2220,4660,2164468,9.68722687217208,-2.2413791280296755,0.84497556559372
2230,4660,2170699,9.6871243893526,-2.2418502014650454,0.8449600460341029
2240,4662,2175704,9.68767307599701,-2.241971342863722,0.8449458724862046
2250,4668,2185908,9.688344165000002,-2.2432242426645366,0.8448629697693645
2260,4670,2205120,9.686729906505498,-2.243687447010351,0.8450223697109561
2270,4673,2217342,9.687762437854726,-2.2442007570499576,0.8449316772469155
2280,4673,2223587,9.687484882714617,-2.2446850192755528,0.844953575687997
2290,4674,2233616,9.68769836370837,-2.246084404549865,0.8448128223431907
2300,4686,2247305,9.688134731847892,-2.248051337856874,0.8449775709171745
2310,4686,2253487,9.688088307475722,-2.2485934944697,0.8448867122309633
2320,4690,2259244,9.688887799660405,-2.248700420785937,0.8449272650593697
2330,4690,2264661,9.68945774176056,-2.2485876669572886,0.8447371901569038
2340,4692,2276580,9.690897350351769,-2.248180791967093,0.8444095671882509
2350,4696,2287627,9.691833675461588,-2.248834682736786,0.8442070960106384
2360,4699,2298130,9.693174001332066,-2.2492425272103858,0.843999357221463
2370,4701,2308527,9.695000801096917,-2.2490998173980548,0.8436272984265465
2380,4702,2314477,9.69491388080376,-2.249866639943936,0.8435552429229021
2390,4702,2326104,9.695717987749758,-2.2500428627990336,0.843281204869444
2400,4713,2340327,9.698992817434123,-2.250384146299028,0.8429942172856063
2410,4716,2346456,9.69975853077282,-2.250458932847803,0.8430785246608252
2420,4718,2352983,9.700193699440756,-2.250962268658114,0.8430158842217386
2430,4721,2361397,9.701364804791428,-2.2511669777026415,0.8428877931986075
2440,4723,2372802,9.701789253840765,-2.2517629028932196,0.8428179294788816
2450,4724,2378173,9.702291198677502,-2.2521910182757487,0.8426398641413847
2460,4724,2383811,9.70221350092855,-2.252590875314589,0.8425175880719631
2470,4729,2396731,9.705560412313694,-2.250531266860253,0.8422602567413782
2480,4732,2407671,9.706427427657264,-2.251098385474142,0.8420922635184771
2490,4734,2414406,9.70706492478675,-2.2514098910191636,0.8420467854470268
2500,4737,2421161,9.707474249708971,-2.2521601294314073,0.8420754599334216
2510,4750,2432466,9.709086043387444,-2.2546189963544774,0.8419364615522326
2520,4757,2444727,9.711034629977233,-2.2552444768906486,0.8417088313060727
2530,4762,2454680,9.712510937000612,-2.2564282981688453,0.8414211538107017
2540,4763,2462258,9.713096929075874,-2.2564575302762746,0.8412426078499197
2550,4773,2473635,9.71491480730546,-2.2573623189994634,0.8411648834346909
2560,4774,2487919,9.714813050695415,-2.2571724680977865,0.8411288427116499
2570,4779,2499747,9.715138501503057,-2.25855773671206,0.8411018827386757
2580,4781,2506429,9.716188518099042,-2.259142443045717,0.840919823183419
2590,4790,2517928,9.716715953312715,-2.2611278605598106,0.840782380488833
2600,4795,2531904,9.716289602711592,-2.2624216244564725,0.8408168820005683
2610,4798,2546635,9.716191223231059,-2.264034074558855,0.8406435155602041
2620,4802,2549093,9.716160231395438,-2.264434102389847,0.8408679941603469
2630,4802,2558238,9.716045666381673,-2.2646294297212037,0.8407616111427435
2640,4809,2570445,9.716574009045916,-2.266104448425739,0.840837458651387
2650,4812,2582153,9.71618860460001,-2.2673990214632243,0.8408577399963824
2660,4814,2595354,9.715806057236163,-2.2682791975656094,0.8407777782486899
2670,4815,2601549,9.71641843865348,-2.2683423851467417,0.8406627231224864
2680,4817,2610478,9.716231676761868,-2.2700431288155323,0.8406162028398896
2690,4817,2623286,9.716446385792826,-2.2711062586208235,0.8404620791754565
2700,4820,2636921,9.717350402724675,-2.271053718394818,0.8404004264022238
