rank,char,frequency
729,奋,6001
730,竞,5980
731,纳,5973
732,额,5949
733,冰,5947
734,星,5942
735,峰,5930
736,独,5914
737,草,5896
738,拓,5895
739,吸,5882
740,听,5882
741,购,5845
742,授,5819
743,微,5794
744,吉,5776
745,输,5761
746,木,5754
747,筑,5754
748,语,5749
749,移,5738
750,留,5707
751,请,5695
752,盖,5664
753,川,5656
754,慧,5642
755,碳,5641
756,候,5641
757,端,5619
758,季,5597
759,洋,5581
760,亮,5578
761,桥,5566
762,荣,5557
763,舞,5531
764,属,5523
765,压,5509
766,孩,5492
767,换,5472
768,除,5452
769,音,5450
770,浙,5445
771,岁,5414
772,杨,5412
773,占,5411
774,希,5390
775,早,5374
776,章,5367
777,免,5353
778,半,5334
779,短,5323
780,售,5309
781,录,5306
782,载,5267
783,即,5256
784,欧,5256
785,励,5251
786,贡,5218
787,鼓,5203
788,角,5187
789,署,5167
790,胜,5163
791,彻,5153
792,努,5126
793,累,5100
794,丽,5094
795,固,5069
796,板,5042
797,诉,4993
798,挑,4983
799,永,4979
800,筹,4957
801,练,4944
802,扎,4941
803,困,4916
804,曾,4911
805,波,4901
806,延,4900
807,失,4897
808,兰,4893
809,卡,4889
810,伴,4888
811,哈,4879
812,什,4872
813,欢,4860
814,违,4860
815,香,4849
816,六,4841
817,迎,4830
818,雨,4828
819,罗,4828
820,按,4825
821,彩,4818
822,须,4812
823,谈,4809
824,攻,4801
825,顺,4799
826,味,4771
827,频,4760
828,夏,4754
829,鲜,4747
830,退,4715
831,灾,4709
832,针,4705
833,庭,4702
834,追,4697
835,涉,4696
836,粮,4692
837,旧,4688
838,尼,4688
839,觉,4669
840,称,4660
841,焦,4650
842,击,4642
843,找,4619
844,害,4596
845,繁,4583
846,矿,4579
847,秀,4563
848,船,4561
849,宝,4557
850,菜,4547
851,喜,4530
852,赋,4526
853,蒙,4499
854,贴,4475
855,黑,4472
856,烈,4464
857,津,4429
858,扬,4427
859,库,4407
860,歌,4406
861,轮,4401
862,典,4397
863,牢,4394
864,申,4385
865,餐,4385
866,吃,4384
867,官,4381
868,套,4352
869,零,4343
870,靠,4338
871,某,4331
872,付,4329
873,背,4329
874,刚,4319
875,够,4317
876,岸,4301
877,尽,4297
878,逐,4295
879,阶,4278
880,援,4276
881,汉,4244
882,简,4240
883,假,4214
884,覆,4209
885,勇,4195
886,壮,4193
887,汇,4178
888,撑,4158
889,奖,4137
890,曲,4137
891,松,4136
892,握,4118
893,架,4118
894,兵,4110
895,穿,4074
896,董,4067
897,它,4056
898,递,4051
899,玉,4048
900,伙,4036
901,厚,4035
902,童,4031
903,陆,3996
904,染,3982
905,戏,3967
906,沿,3963
907,钢,3961
908,吴,3954
909,招,3938
910,宜,3928
911,岗,3928
912,潜,3904
913,七,3903
914,映,3894
915,述,3883
916,坦,3872
917,签,3862
918,径,3837
919,赵,3835
920,绕,3833
921,释,3828
922,停,3827
923,厅,3820
924,你,3815
925,幕,3792
926,盟,3789
927,跑,3786
928,赢,3778
929,堂,3774
930,夜,3774
931,茶,3768
932,杂,3764
933,夫,3762
934,择,3740
935,订,3739
936,登,3715
937,借,3707
938,湾,3698
939,拥,3687
940,楼,3673
941,疆,3670
942,贫,3660
943,循,3656
944,血,3652
945,冲,3647
946,驻,3639
947,雄,3638
948,予,3598
949,令,3584
950,潮,3584
951,哪,3580
952,码,3580
953,齐,3573
954,摄,3573
955,贷,3570
956,怀,3562
957,岛,3554
958,跟,3544
959,沟,3535
960,买,3531
961,梁,3525
962,括,3514
963,冬,3490
964,沉,3484
965,暖,3473
966,储,3469
967,巨,3468
968,灵,3468
969,瓦,3460
970,患,3456
971,九,3453
972,异,3444
973,洁,3442
974,倡,3436
975,差,3415
976,梦,3400
977,卖,3386
978,派,3376
979,判,3376
980,凝,3364
981,乌,3362
982,灯,3361
983,塔,3360
984,纷,3353
985,状,3351
986,野,3351
987,止,3339
988,脚,3319
989,却,3304
990,洪,3303
991,疾,3298
992,庄,3262
993,截,3245
994,著,3242
995,操,3238
996,俄,3227
997,泛,3226
998,涵,3226
999,笔,3221
1000,辆,3200
1001,箱,3199
1002,晚,3198
1003,呼,3195
1004,媒,3191
1005,答,3190
1006,脱,3182
1007,巡,3172
1008,含,3170
1009,泰,3164
1010,顾,3160
1011,钟,3157
1012,奇,3147
1013,徐,3117
1014,诗,3107
1015,坛,3102
1016,拍,3101
1017,损,3088
1018,射,3086
1019,扶,3082
1020,耕,3075
1021,票,3060
1022,篇,3052
1023,械,3041
1024,午,3024
1025,块,3024
1026,宇,3021
1027,搭,3011
1028,缺,3008
1029,仍,3000
1030,幅,2999
1031,幸,2996
1032,澳,2994
1033,召,2973
1034,唱,2971
1035,孙,2965
1036,危,2963
1037,浪,2956
1038,叶,2955
1039,圈,2946
1040,盘,2945
1041,盛,2940
1042,携,2938
1043,符,2930
1044,履,2930
1045,污,2926
1046,闻,2916
1047,坐,2909
1048,渐,2906
1049,休,2900
1050,腐,2889
1051,毕,2882
1052,钱,2880
1053,塑,2868
1054,蓝,2858
1055,尊,2827
1056,驶,2823
1057,析,2820
1058,谋,2818
1059,硬,2818
1060,卷,2814
1061,丝,2811
1062,亩,2810
1063,旗,2806
1064,朝,2795
1065,梅,2794
1066,罪,2777
1067,劲,2774
1068,畅,2765
1069,渠,2763
1070,览,2761
1071,吨,2761
1072,昌,2760
1073,辉,2757
1074,宽,2755
1075,冷,2730
1076,煤,2730
1077,礼,2727
1078,苗,2719
1079,犯,2717
1080,怎,2714
1081,饮,2712
1082,绝,2711
1083,忆,2709
1084,脑,2705
1085,徽,2703
1086,威,2702
1087,兼,2700
1088,宏,2699
1089,肥,2698
1090,伍,2698
1091,鸟,2694
1092,苦,2678
1093,绩,2673
1094,胡,2673
1095,阔,2672
1096,伏,2667
1097,残,2659
1098,拿,2655
1099,晓,2654
1100,萨,2652
1101,迈,2650
1102,跃,2649
1103,鉴,2644
1104,朋,2644
1105,赴,2643
1106,鲁,2638
1107,阅,2625
1108,秘,2622
1109,静,2622
1110,诊,2615
1111,熟,2606
1112,驾,2605
1113,顶,2599
1114,母,2599
1115,迹,2595
1116,丹,2595
1117,寻,2586
1118,辽,2585
1119,唐,2583
1120,伤,2582
1121,鱼,2580
1122,酒,2571
1123,掘,2564
1124,滨,2558
1125,且,2556
1126,讨,2553
1127,佳,2548
1128,忙,2544
1129,衡,2541
1130,奔,2536
1131,缩,2534
1132,左,2529
1133,韩,2527
1134,雷,2522
1135,避,2514
1136,脉,2502
1137,址,2500
1138,账,2494
1139,阵,2493
1140,乘,2485
1141,仪,2473
1142,骨,2473
1143,麦,2467
1144,甘,2466
1145,挖,2462
1146,透,2452
1147,隐,2450
1148,债,2444
1149,右,2443
1150,诚,2442
1151,侵,2442
1152,附,2441
1153,邮,2425
1154,呈,2424
1155,滑,2421
1156,尚,2417
1157,途,2416
1158,彰,2414
1159,杭,2407
1160,父,2395
1161,珍,2392
1162,奥,2390
1163,郑,2383
1164,烟,2374
1165,池,2367
1166,皮,2347
1167,饭,2342
1168,伊,2334
1169,祖,2332
1170,归,2328
1171,翻,2327
1172,另,2314
1173,森,2307
1174,谊,2305
1175,笑,2302
1176,返,2302
1177,遍,2302
1178,朱,2298
1179,柬,2297
1180,纸,2293
1181,散,2288
1182,封,2284
1183,沈,2282
1184,悉,2267
1185,毛,2266
1186,杰,2263
1187,哥,2256
1188,牵,2254
1189,盾,2244
1190,炼,2232
1191,距,2231
1192,屋,2220
1193,肃,2219
1194,束,2203
1195,败,2201
1196,震,2193
1197,裁,2192
1198,谢,2189
1199,圆,2184
1200,牛,2184
1201,窗,2184
1202,触,2181
1203,掌,2173
1204,坡,2165
1205,壁,2157
1206,似,2153
1207,谷,2152
1208,泉,2150
1209,抵,2149
1210,错,2127
1211,姓,2126
1212,忠,2125
1213,摆,2123
1214,乱,2122
1215,润,2119
1216,墙,2119
1217,宋,2118
1218,虚,2113
1219,绘,2112
1220,俗,2105
1221,挂,2103
1222,般,2086
1223,铺,2078
1224,肉,2074
1225,纠,2070
1226,敢,2063
1227,醒,2062
1228,屏,2062
1229,镜,2062
1230,井,2044
1231,词,2041
1232,趣,2039
1233,漫,2033
1234,遵,2026
1235,缓,2021
1236,诺,2013
1237,嘉,2012
1238,抢,2007
1239,弘,2004
1240,洞,2003
1241,宿,2002
1242,折,1998
1243,寨,1998
1244,巩,1997
1245,床,1997
1246,龄,1996
1247,租,1993
1248,邻,1984
1249,腾,1984
1250,趋,1981
1251,祥,1976
1252,软,1975
1253,韧,1973
1254,迁,1972
1255,露,1966
1256,估,1962
1257,敏,1958
1258,虽,1956
1259,丁,1955
1260,泽,1954
1261,衣,1953
1262,燃,1950
1263,涌,1943
1264,勤,1941
1265,牧,1939
1266,废,1937
1267,赞,1936
1268,瑞,1936
1269,祝,1928
1270,玩,1921
1271,锋,1919
1272,驱,1919
1273,浓,1917
1274,纽,1915
1275,芳,1914
1276,轨,1912
1277,郭,1911
1278,否,1902
1279,秋,1900
1280,乎,1898
1281,迪,1890
1282,陕,1877
1283,冠,1876
1284,隆,1864
1285,欣,1862
1286,竹,1859
1287,勃,1856
1288,灌,1853
1289,湿,1847
1290,铜,1839
1291,雅,1826
1292,甚,1820
1293,慢,1819
1294,询,1814
1295,邀,1804
1296,捷,1802
1297,赏,1802
1298,塞,1800
1299,若,1800
1300,赶,1799
1301,蕴,1795
1302,洛,1787
1303,横,1777
1304,岩,1776
1305,珠,1776
1306,秩,1775
1307,毒,1772
1308,泥,1766
1309,廉,1762
1310,舟,1759
1311,殖,1758
1312,宗,1756
1313,溪,1748
1314,埃,1747
1315,疫,1746
1316,毅,1744
1317,闲,1742
1318,勒,1739
1319,虑,1731
1320,倍,1728
1321,偿,1728
1322,锦,1726
1323,墨,1725
1324,妇,1719
1325,浩,1718
1326,拼,1717
1327,盐,1707
1328,粉,1704
1329,禁,1703
1330,坊,1703
1331,弹,1702
1332,昆,1697
1333,骑,1695
1334,矛,1688
1335,艰,1681
1336,鹏,1681
1337,籍,1680
